no,Panchayaths,ph,N,P,K
1,Aikkaranadu,MA,50,H,M
2,Alengad,SA,50,H,M
3,Aluva MC,N,50,H,H
4,Amballoor,SA,50,H,M
5,Angamaly MC,MA,50,H,M
6,Arakuzha,SA,50,H,M
7,Asamannur,SA,50,H,M
8,Avoli,MA,50,H,M
9,Ayavana,SA,50,H,M
10,Ayyanpuzha,SA,50,H,H
11,Chellanam,N,50,L,M
12,Chendamangalam,SA,50,H,M
13,Chengamanadu,MA,50,H,H
14,Cheranalloor,MA,50,M,M
15,Chittattukara,MA,50,H,H
16,Choornikara,N,50,H,M
17,Chottanikara,MA,50,H,M
18,Cochin Corp.,N,50,H,M
19,Edakkattuvayal,SA,50,H,M
20,Edathala,MA,50,M,M
21,Edavankkad,MA,50,H,M
22,Elamkunnapuzha,MA,50,H,M
23,Elenji,SA,50,H,H
24,Eloor MC,MA,50,H,M
25,Ezhikkara,MA,50,H,M
26,Kadamakudy,SA,50,H,M
27,Kalady,SA,50,H,M
28,Kalamassery MC,N,50,H,M
29,Kalloorkadu,SA,50,H,M
30,Kanjoor,SA,50,H,L
31,Karakutty,MA,50,H,H
32,Karumallor,SA,50,H,M
33,Kavanlangad,SA,50,H,M
34,Keerampara,SA,50,H,L
35,Keezhmad,MA,50,H,H
36,Kizhakkambalam,SA,50,H,M
37,Kodungallur,SA,50,H,M
38,Koothattukulam,MA,50,H,H
39,Koovappady,MA,50,H,M
40,Kothamangalam MC,MA,50,H,M
41,Kottapady,SA,50,H,H
42,Kotuvally,SA,50,H,M
43,Kumbalam,MA,50,H,M
44,Kumbalangi,MA,50,H,L
45,Kunnathunad,MA,50,H,H
46,Kunnukara,MA,50,H,H
47,Kuttampuzha,MA,50,H,M
48,Kuzheeppilly,N,50,H,M
49,Malayattoor,SA,50,H,M
50,Maneed,SA,50,H,M
51,Manjalloor,SA,50,H,M
52,Manjapara,SA,50,H,M
53,Maradu MC,MA,50,H,M
54,Marady,SA,50,H,L
55,Mazhuvannoor,SA,50,M,M
56,Mukakkuzha,MA,50,H,H
57,Mukkannoor,SA,50,H,M
58,Mulamthuruthy,SA,50,H,M
59,Mulavukad,MA,50,H,M
60,Muvattapuzha MC,MA,50,H,M
61,N Parur MC,MA,50,H,M
62,Nayarambalam,MA,50,H,M
63,Nedumbassery,SA,50,H,M
64,Nellikuzhy,SA,50,H,M
65,Njarakkal,MA,50,H,M
66,Okkal,SA,50,H,H
67,Paingottoor,MA,50,H,M
68,Paipra,SA,50,H,M
69,Palakkuzha,SA,50,H,H
70,Pallarimangalam,SA,50,H,L
71,Pallippuram,MA,50,H,M
72,Pampakuda,SA,50,H,M
73,Parakadavu,MA,50,H,H
74,Perumbavoor MC,N,50,H,M
75,Pindimana,SA,50,H,M
76,Piravom,SA,50,H,H
77,Poothikka,SA,50,H,M
78,Pothanicadu,SA,50,H,M
79,Puthenvelikkara,MA,50,H,M
80,Ramamangalam,SA,50,H,H
81,Rayamangalam,MA,50,H,M
82,Sreemoolanagaram,SA,50,H,M
83,Thirumarady,MA,50,H,H
84,Thirivaniyoor,SA,50,H,M
85,Thiruvankulam,MA,50,H,M
86,Thrikkakara,SA,50,H,H
87,Thrippunuthara,MA,50,H,M
88,Thuravoor,SA,50,H,M
89,Udayamperur,SA,50,H,H
90,V.Puthenkurisu,SA,50,H,M
91,Vadakkekkara,MA,50,H,M
92,Valakom,SA,50,H,M
93,Varapetty,SA,50,H,M
94,Varapuzha,MA,50,H,M
95,Vazhakulam,MA,50,H,H
96,Vengola,SA,50,H,H
97,Vengoor,SA,50,H,M
98,Kochi,N,50,L,M
99,Kanayannur,SA,50,H,M
100,Paravur,MA,50,H,M
